Community,Year,Volume,Events,Outfalls
Auburn S.D.,1987,NA,80,11
Auburn S.D.,1988,NA,80,11
Auburn S.D.,1989,NA,80,NA
Auburn S.D.,1990,NA,80,NA
Auburn S.D.,1991,NA,80,NA
Auburn S.D.,1992,NA,80,NA
Auburn S.D.,1993,NA,21,NA
Auburn S.D.,1994,NA,21,NA
Auburn S.D.,1995,NA,10,NA
Auburn S.D.,1996,NA,10,NA
Auburn S.D.,1997,99720000,7,NA
Auburn S.D.,1998,99720000,7,NA
Auburn S.D.,1999,78340742,7,NA
Auburn S.D.,2000,102297387,7,NA
Auburn S.D.,2001,199674605,44,NA
Auburn S.D.,2002,66307631,67,6
Auburn S.D.,2003,19197928,62,6
Auburn S.D.,2004,4687316,24,6
Auburn S.D.,2005,37155818,58,6
Auburn S.D.,2006,28936137,37,6
Auburn S.D.,2007,23622547,42,4
Auburn S.D.,2008,23984272,59,3
Auburn S.D.,2009,19440841,61,3
Auburn S.D.,2010,12952500,37,3
Auburn S.D.,2011,19234856,11,2
Auburn S.D.,2012,12404500,8,3
Auburn S.D.,2013,3717000,5,2
Auburn S.D.,2014,1286000,5,2
Auburn S.D.,2015,2928519,2,1
Auburn S.D.,2016,814738,8,2
Auburn S.D.,2017,1117809,2,2
Auburn S.D.,2018,1656736,2,2
Auburn S.D.,2019,997100,5,2
Bangor,1987,NA,53,22
Bangor,1988,NA,53,22
Bangor,1989,NA,53,NA
Bangor,1990,NA,53,NA
Bangor,1991,NA,52,NA
Bangor,1992,NA,37,NA
Bangor,1993,NA,46,NA
Bangor,1994,NA,49,NA
Bangor,1995,NA,49,NA
Bangor,1996,NA,41,NA
Bangor,1997,317730000,38,NA
Bangor,1998,329000000,44,NA
Bangor,1999,285910000,33,NA
Bangor,2000,230190000,37,NA
Bangor,2001,88430000,20,NA
Bangor,2002,161000000,40,12
Bangor,2003,204000000,49,12
Bangor,2004,193870000,42,12
Bangor,2005,303160000,46,12
Bangor,2006,272750000,58,12
Bangor,2007,150580000,25,11
Bangor,2008,378640000,65,7
Bangor,2009,347360000,78,7
Bangor,2010,389300000,73,7
Bangor,2011,146000000,54,9
Bangor,2012,69940000,29,9
Bangor,2013,32140000,27,9
Bangor,2014,87748000,34,9
Bangor,2015,40109000,20,9
Bangor,2016,48586000,28,9
Bangor,2017,13310000,21,9
Bangor,2018,50547000,23,8
Bangor,2019,96009000,34,8
Bar Harbor,1987,NA,155,5
Bar Harbor,1988,NA,155,5
Bar Harbor,1989,NA,155,NA
Bar Harbor,1990,NA,155,NA
Bar Harbor,1991,NA,155,NA
Bar Harbor,1992,NA,155,NA
Bar Harbor,1993,NA,155,NA
Bar Harbor,1994,NA,155,NA
Bar Harbor,1995,NA,155,NA
Bar Harbor,1996,NA,155,NA
Bar Harbor,1997,13160915,154,NA
Bar Harbor,1998,1919628,47,NA
Bar Harbor,1999,17627806,98,NA
Bar Harbor,2000,4730155,44,NA
Bar Harbor,2001,384531,7,NA
Bar Harbor,2002,2729389,21,4
Bar Harbor,2003,2845621,16,4
Bar Harbor,2004,290133,5,4
Bar Harbor,2005,13661958,22,4
Bar Harbor,2006,5102820,18,4
Bar Harbor,2007,8719436,10,4
Bar Harbor,2008,12601889,27,4
Bar Harbor,2009,11935337,28,4
Bar Harbor,2010,6930405,19,4
Bar Harbor,2011,2563669,6,4
Bar Harbor,2012,3776092,13,4
Bar Harbor,2013,407010,6,4
Bar Harbor,2014,1561139,17,4
Bar Harbor,2015,2335692,5,4
Bar Harbor,2016,277000,2,4
Bar Harbor,2017,225200,3,4
Bar Harbor,2018,562221,7,4
Bar Harbor,2019,2757979,14,4
Bath,1987,NA,64,9
Bath,1988,NA,64,9
Bath,1989,NA,64,NA
Bath,1990,NA,64,NA
Bath,1991,NA,64,NA
Bath,1992,NA,64,NA
Bath,1993,NA,64,NA
Bath,1994,NA,64,NA
Bath,1995,NA,64,NA
Bath,1996,NA,64,NA
Bath,1997,37000000,64,NA
Bath,1998,37000000,30,NA
Bath,1999,37000000,37,NA
Bath,2000,5910364,21,NA
Bath,2001,6173760,10,NA
Bath,2002,4341921,25,4
Bath,2003,16496467,23,4
Bath,2004,6055666,20,4
Bath,2005,60338026,33,4
Bath,2006,36105688,32,4
Bath,2007,20783335,25,4
Bath,2008,24383599,29,4
Bath,2009,11323060,21,4
Bath,2010,12930203,20,4
Bath,2011,10067181,12,4
Bath,2012,12199904,23,4
Bath,2013,3297259,18,4
Bath,2014,4990910,18,4
Bath,2015,2727901,8,4
Bath,2016,1608037,14,4
Bath,2017,1697081,10,4
Bath,2018,3753899,14,4
Bath,2019,2800232,15,4
Belfast,1987,NA,7,2
Belfast,1988,NA,7,2
Belfast,1989,NA,7,NA
Belfast,1990,NA,7,NA
Belfast,1991,NA,7,NA
Belfast,1992,NA,7,NA
Belfast,1993,NA,7,NA
Belfast,1994,NA,7,NA
Belfast,1995,NA,7,NA
Belfast,1996,NA,7,NA
Belfast,1997,736000,7,NA
Belfast,1998,736620,5,NA
Belfast,1999,617517,7,NA
Belfast,2000,617517,1,NA
Belfast,2001,46000,0,NA
Belfast,2002,0,0,2
Belfast,2003,0,0,2
Belfast,2004,0,5,2
Belfast,2005,1796747,5,2
Belfast,2006,485451,3,2
Belfast,2007,1035392,5,2
Belfast,2008,198370,4,2
Belfast,2009,260036,3,2
Belfast,2010,486919,6,2
Belfast,2011,490495,3,2
Belfast,2012,0,0,2
Belfast,2013,0,0,2
Belfast,2014,0,0,2
Belfast,2015,0,1,2
Belfast,2016,0,0,2
Belfast,2017,0,0,2
Belfast,2018,305071,2,2
Belfast,2019,330905,3,2
Biddeford,1987,NA,180,16
Biddeford,1988,NA,180,16
Biddeford,1989,NA,180,NA
Biddeford,1990,NA,180,NA
Biddeford,1991,NA,180,NA
Biddeford,1992,NA,180,NA
Biddeford,1993,NA,180,NA
Biddeford,1994,NA,180,NA
Biddeford,1995,NA,180,NA
Biddeford,1996,NA,180,NA
Biddeford,1997,160000000,94,NA
Biddeford,1998,286924366,147,NA
Biddeford,1999,191155589,162,NA
Biddeford,2000,234987578,184,NA
Biddeford,2001,145356657,140,NA
Biddeford,2002,415694234,150,12
Biddeford,2003,136417937,93,11
Biddeford,2004,101087776,61,11
Biddeford,2005,381731131,104,11
Biddeford,2006,420848497,82,11
Biddeford,2007,440173468,70,11
Biddeford,2008,416581800,53,10
Biddeford,2009,435972508,46,10
Biddeford,2010,381853242,28,10
Biddeford,2011,113907851,100,10
Biddeford,2012,141198828,146,10
Biddeford,2013,90581675,77,8
Biddeford,2014,194302147,88,8
Biddeford,2015,95830208,48,8
Biddeford,2016,99492656,57,8
Biddeford,2017,49504091,55,7
Biddeford,2018,70814300,41,7
Biddeford,2019,69451000,45,7
Brewer,1987,NA,95,10
Brewer,1988,NA,95,10
Brewer,1989,NA,95,NA
Brewer,1990,NA,95,NA
Brewer,1991,NA,95,NA
Brewer,1992,NA,95,NA
Brewer,1993,NA,66,NA
Brewer,1994,NA,66,NA
Brewer,1995,NA,66,NA
Brewer,1996,NA,66,NA
Brewer,1997,725000000,22,NA
Brewer,1998,210670800,92,NA
Brewer,1999,423644459,95,NA
Brewer,2000,322168651,80,NA
Brewer,2001,243176051,53,NA
Brewer,2002,417536641,72,7
Brewer,2003,509412078,66,7
Brewer,2004,279830419,72,7
Brewer,2005,592984187,78,7
Brewer,2006,247538580,45,7
Brewer,2007,231283607,38,6
Brewer,2008,289560294,59,6
Brewer,2009,229270683,56,6
Brewer,2010,227139515,50,5
Brewer,2011,140065515,45,5
Brewer,2012,435548,5,4
Brewer,2013,58310,3,4
Brewer,2014,139280,3,4
Brewer,2015,465000,1,4
Brewer,2016,87374,2,4
Brewer,2017,0,0,4
Brewer,2018,366687,4,4
Brewer,2019,868060,4,4
Bucksport,1987,NA,53,2
Bucksport,1988,NA,53,2
Bucksport,1989,NA,53,NA
Bucksport,1990,NA,53,NA
Bucksport,1991,NA,53,NA
Bucksport,1992,NA,53,NA
Bucksport,1993,NA,53,NA
Bucksport,1994,NA,53,NA
Bucksport,1995,NA,53,NA
Bucksport,1996,NA,53,NA
Bucksport,1997,53000000,53,NA
Bucksport,1998,53000000,10,NA
Bucksport,1999,53000000,17,NA
Bucksport,2000,53000000,10,NA
Bucksport,2001,53000000,32,NA
Bucksport,2002,53000000,24,2
Bucksport,2003,53000000,25,2
Bucksport,2004,371970,8,2
Bucksport,2005,16623000,24,2
Bucksport,2006,5546501,18,2
Bucksport,2007,20000,2,2
Bucksport,2008,0,0,1
Bucksport,2009,0,0,1
Bucksport,2010,0,0,1
Bucksport,2011,0,0,1
Bucksport,2012,0,0,1
Bucksport,2013,0,0,1
Bucksport,2014,0,0,1
Bucksport,2015,0,0,1
Bucksport,2016,0,0,1
Bucksport,2017,NA,NA,NA
Bucksport,2018,NA,NA,NA
Bucksport,2019,NA,NA,NA
Calais,1987,NA,15,5
Calais,1988,NA,15,5
Calais,1989,NA,15,NA
Calais,1990,NA,15,NA
Calais,1991,NA,15,NA
Calais,1992,NA,15,NA
Calais,1993,NA,15,NA
Calais,1994,NA,15,NA
Calais,1995,NA,15,NA
Calais,1996,NA,15,NA
Calais,1997,42000000,15,NA
Calais,1998,42000000,15,NA
Calais,1999,42000000,15,NA
Calais,2000,42000000,15,NA
Calais,2001,42000000,15,NA
Calais,2002,42000000,15,5
Calais,2003,26280000,15,5
Calais,2004,5290000,9,5
Calais,2005,42140000,15,5
Calais,2006,20409850,5,5
Calais,2007,22060520,8,5
Calais,2008,18989779,10,5
Calais,2009,21263750,14,5
Calais,2010,31134915,8,5
Calais,2011,16860000,6,5
Calais,2012,18210000,14,5
Calais,2013,18311206,8,5
Calais,2014,20775288,14,5
Calais,2015,5292778,6,5
Calais,2016,4624354,7,5
Calais,2017,4512300,9,5
Calais,2018,10000030,15,5
Calais,2019,2403000,6,5
Cape Elizabeth,1987,NA,5,1
Cape Elizabeth,1988,NA,5,1
Cape Elizabeth,1989,NA,5,NA
Cape Elizabeth,1990,NA,5,NA
Cape Elizabeth,1991,NA,5,NA
Cape Elizabeth,1992,NA,5,NA
Cape Elizabeth,1993,NA,5,NA
Cape Elizabeth,1994,NA,5,NA
Cape Elizabeth,1995,NA,5,NA
Cape Elizabeth,1996,NA,5,NA
Cape Elizabeth,1997,5400000,2,NA
Cape Elizabeth,1998,5400000,3,NA
Cape Elizabeth,1999,5400000,5,NA
Cape Elizabeth,2000,739000,5,NA
Cape Elizabeth,2001,100000,3,NA
Cape Elizabeth,2002,0,0,1
Cape Elizabeth,2003,630000,2,1
Cape Elizabeth,2004,1325000,5,1
Cape Elizabeth,2005,4807000,20,1
Cape Elizabeth,2006,5365000,20,1
Cape Elizabeth,2007,3254000,5,1
Cape Elizabeth,2008,2567000,11,1
Cape Elizabeth,2009,3527000,17,1
Cape Elizabeth,2010,3955292,12,1
Cape Elizabeth,2011,1072000,6,1
Cape Elizabeth,2012,2735000,11,1
Cape Elizabeth,2013,41000,2,1
Cape Elizabeth,2014,1440000,12,1
Cape Elizabeth,2015,277000,2,1
Cape Elizabeth,2016,251000,6,1
Cape Elizabeth,2017,277000,2,1
Cape Elizabeth,2018,375000,4,1
Cape Elizabeth,2019,432000,2,1
Corinna S.D.,1987,NA,30,5
Corinna S.D.,1988,NA,30,5
Corinna S.D.,1989,NA,30,NA
Corinna S.D.,1990,NA,30,NA
Corinna S.D.,1991,NA,30,NA
Corinna S.D.,1992,NA,30,NA
Corinna S.D.,1993,NA,30,NA
Corinna S.D.,1994,NA,30,NA
Corinna S.D.,1995,NA,30,NA
Corinna S.D.,1996,NA,30,NA
Corinna S.D.,1997,20000,15,NA
Corinna S.D.,1998,22000,16,NA
Corinna S.D.,1999,27000,26,NA
Corinna S.D.,2000,31000,23,NA
Corinna S.D.,2001,25000,19,NA
Corinna S.D.,2002,2000,1,1
Corinna S.D.,2003,2000,1,1
Corinna S.D.,2004,0,0,0
Corinna S.D.,2005,NA,NA,1
Corinna S.D.,2006,NA,NA,0
Corinna S.D.,2007,NA,NA,NA
Corinna S.D.,2008,NA,NA,NA
Corinna S.D.,2009,NA,NA,NA
Corinna S.D.,2010,NA,NA,NA
Corinna S.D.,2011,NA,NA,NA
Corinna S.D.,2012,NA,NA,NA
Corinna S.D.,2013,NA,NA,NA
Corinna S.D.,2014,NA,NA,NA
Corinna S.D.,2015,NA,NA,NA
Corinna S.D.,2016,NA,NA,NA
Corinna S.D.,2017,NA,NA,NA
Corinna S.D.,2018,NA,NA,NA
Corinna S.D.,2019,NA,NA,NA
Dover-Foxcroft,1987,NA,8,15
Dover-Foxcroft,1988,NA,8,15
Dover-Foxcroft,1989,NA,8,NA
Dover-Foxcroft,1990,NA,8,NA
Dover-Foxcroft,1991,NA,8,NA
Dover-Foxcroft,1992,NA,2,NA
Dover-Foxcroft,1993,NA,8,NA
Dover-Foxcroft,1994,NA,6,NA
Dover-Foxcroft,1995,NA,1,NA
Dover-Foxcroft,1996,NA,4,NA
Dover-Foxcroft,1997,0,0,NA
Dover-Foxcroft,1998,6000,3,NA
Dover-Foxcroft,1999,0,0,NA
Dover-Foxcroft,2000,2000,1,NA
Dover-Foxcroft,2001,0,0,NA
Dover-Foxcroft,2002,0,0,4
Dover-Foxcroft,2003,0,0,4
Dover-Foxcroft,2004,0,0,4
Dover-Foxcroft,2005,199000,2,4
Dover-Foxcroft,2006,0,0,4
Dover-Foxcroft,2007,NA,NA,NA
Dover-Foxcroft,2008,NA,NA,NA
Dover-Foxcroft,2009,NA,NA,NA
Dover-Foxcroft,2010,NA,NA,NA
Dover-Foxcroft,2011,NA,NA,NA
Dover-Foxcroft,2012,NA,NA,NA
Dover-Foxcroft,2013,NA,NA,NA
Dover-Foxcroft,2014,NA,NA,NA
Dover-Foxcroft,2015,NA,NA,NA
Dover-Foxcroft,2016,NA,NA,NA
Dover-Foxcroft,2017,NA,NA,NA
Dover-Foxcroft,2018,NA,NA,NA
Dover-Foxcroft,2019,NA,NA,NA
East Millinocket,1987,NA,11,5
East Millinocket,1988,NA,11,5
East Millinocket,1989,NA,11,NA
East Millinocket,1990,NA,11,NA
East Millinocket,1991,NA,11,NA
East Millinocket,1992,NA,11,NA
East Millinocket,1993,NA,11,NA
East Millinocket,1994,NA,11,NA
East Millinocket,1995,NA,11,NA
East Millinocket,1996,NA,11,NA
East Millinocket,1997,1200000,11,NA
East Millinocket,1998,1200000,11,NA
East Millinocket,1999,0,0,NA
East Millinocket,2000,0,0,NA
East Millinocket,2001,0,0,NA
East Millinocket,2002,0,0,1
East Millinocket,2003,0,0,1
East Millinocket,2004,0,0,1
East Millinocket,2005,0,0,1
East Millinocket,2006,0,0,1
East Millinocket,2007,NA,NA,NA
East Millinocket,2008,NA,NA,NA
East Millinocket,2009,NA,NA,NA
East Millinocket,2010,NA,NA,NA
East Millinocket,2011,NA,NA,NA
East Millinocket,2012,NA,NA,NA
East Millinocket,2013,NA,NA,NA
East Millinocket,2014,NA,NA,NA
East Millinocket,2015,NA,NA,NA
East Millinocket,2016,NA,NA,NA
East Millinocket,2017,NA,NA,NA
East Millinocket,2018,NA,NA,NA
East Millinocket,2019,NA,NA,NA
Fairfield,1987,NA,15,3
Fairfield,1988,NA,15,3
Fairfield,1989,NA,15,NA
Fairfield,1990,NA,15,NA
Fairfield,1991,NA,15,NA
Fairfield,1992,NA,15,NA
Fairfield,1993,NA,15,NA
Fairfield,1994,NA,15,NA
Fairfield,1995,NA,15,NA
Fairfield,1996,NA,15,NA
Fairfield,1997,301461,4,NA
Fairfield,1998,221954,4,NA
Fairfield,1999,221954,4,NA
Fairfield,2000,221954,4,NA
Fairfield,2001,221954,4,NA
Fairfield,2002,65296,4,2
Fairfield,2003,0,0,2
Fairfield,2004,0,0,2
Fairfield,2005,0,0,2
Fairfield,2006,0,0,2
Fairfield,2007,0,0,2
Fairfield,2008,0,0,2
Fairfield,2009,0,0,2
Fairfield,2010,0,0,2
Fairfield,2011,0,0,2
Fairfield,2012,0,0,2
Fairfield,2013,0,0,0
Fairfield,2014,NA,NA,NA
Fairfield,2015,NA,NA,NA
Fairfield,2016,NA,NA,NA
Fairfield,2017,NA,NA,NA
Fairfield,2018,NA,NA,NA
Fairfield,2019,NA,NA,NA
Fort Kent U.D.,1987,NA,10,6
Fort Kent U.D.,1988,NA,10,6
Fort Kent U.D.,1989,NA,NA,NA
Fort Kent U.D.,1990,NA,NA,NA
Fort Kent U.D.,1991,NA,NA,NA
Fort Kent U.D.,1992,NA,NA,NA
Fort Kent U.D.,1993,NA,NA,NA
Fort Kent U.D.,1994,NA,NA,NA
Fort Kent U.D.,1995,NA,NA,NA
Fort Kent U.D.,1996,NA,NA,NA
Fort Kent U.D.,1997,3000,NA,NA
Fort Kent U.D.,1998,3000,NA,NA
Fort Kent U.D.,1999,0,NA,NA
Fort Kent U.D.,2000,2200,NA,NA
Fort Kent U.D.,2001,0,NA,NA
Fort Kent U.D.,2002,0,NA,1
Fort Kent U.D.,2003,2400,NA,1
Fort Kent U.D.,2004,41000,NA,1
Fort Kent U.D.,2005,600000,4,1
Fort Kent U.D.,2006,NA,NA,1
Fort Kent U.D.,2007,NA,NA,NA
Fort Kent U.D.,2008,NA,NA,NA
Fort Kent U.D.,2009,NA,NA,NA
Fort Kent U.D.,2010,NA,NA,NA
Fort Kent U.D.,2011,NA,NA,NA
Fort Kent U.D.,2012,NA,NA,NA
Fort Kent U.D.,2013,NA,NA,NA
Fort Kent U.D.,2014,NA,NA,NA
Fort Kent U.D.,2015,NA,NA,NA
Fort Kent U.D.,2016,NA,NA,NA
Fort Kent U.D.,2017,NA,NA,NA
Fort Kent U.D.,2018,NA,NA,NA
Fort Kent U.D.,2019,NA,NA,NA
Fort KentU.D.,1987,NA,NA,NA
Fort KentU.D.,1988,NA,NA,NA
Fort KentU.D.,1989,NA,10,NA
Fort KentU.D.,1990,NA,10,NA
Fort KentU.D.,1991,NA,10,NA
Fort KentU.D.,1992,NA,10,NA
Fort KentU.D.,1993,NA,10,NA
Fort KentU.D.,1994,NA,10,NA
Fort KentU.D.,1995,NA,10,NA
Fort KentU.D.,1996,NA,10,NA
Fort KentU.D.,1997,NA,0,NA
Fort KentU.D.,1998,NA,2,NA
Fort KentU.D.,1999,NA,0,NA
Fort KentU.D.,2000,NA,0,NA
Fort KentU.D.,2001,NA,2,NA
Fort KentU.D.,2002,NA,1,NA
Fort KentU.D.,2003,NA,4,NA
Fort KentU.D.,2004,NA,NA,NA
Fort KentU.D.,2005,NA,NA,NA
Fort KentU.D.,2006,NA,NA,NA
Fort KentU.D.,2007,NA,NA,NA
Fort KentU.D.,2008,NA,NA,NA
Fort KentU.D.,2009,NA,NA,NA
Fort KentU.D.,2010,NA,NA,NA
Fort KentU.D.,2011,NA,NA,NA
Fort KentU.D.,2012,NA,NA,NA
Fort KentU.D.,2013,NA,NA,NA
Fort KentU.D.,2014,NA,NA,NA
Fort KentU.D.,2015,NA,NA,NA
Fort KentU.D.,2016,NA,NA,NA
Fort KentU.D.,2017,NA,NA,NA
Fort KentU.D.,2018,NA,NA,NA
Fort KentU.D.,2019,NA,NA,NA
Gardiner,1987,NA,40,2
Gardiner,1988,NA,40,2
Gardiner,1989,NA,40,NA
Gardiner,1990,NA,40,NA
Gardiner,1991,NA,40,NA
Gardiner,1992,NA,40,NA
Gardiner,1993,NA,40,NA
Gardiner,1994,NA,40,NA
Gardiner,1995,NA,40,NA
Gardiner,1996,NA,40,NA
Gardiner,1997,44000000,5,NA
Gardiner,1998,43948000,19,NA
Gardiner,1999,7843400,11,NA
Gardiner,2000,8278600,13,NA
Gardiner,2001,6487000,9,NA
Gardiner,2002,11528900,13,2
Gardiner,2003,13149700,24,2
Gardiner,2004,5113000,11,2
Gardiner,2005,46616000,41,2
Gardiner,2006,10269400,14,2
Gardiner,2007,2487000,2,1
