date,datatype,value,attributes,station
1987-01-01T00:00:00,AWND,4,X,GHCND:USW00014764
1987-01-01T00:00:00,CDSD,167.3,,GHCND:USW00014764
1987-01-01T00:00:00,CLDD,167.3,0,GHCND:USW00014764
1987-01-01T00:00:00,DP01,120,0,GHCND:USW00014764
1987-01-01T00:00:00,DP10,75,0,GHCND:USW00014764
1987-01-01T00:00:00,DP1X,9,0,GHCND:USW00014764
1987-01-01T00:00:00,DSND,105,,GHCND:USW00014764
1987-01-01T00:00:00,DSNW,24,0,GHCND:USW00014764
1987-01-01T00:00:00,DT00,10,0,GHCND:USW00014764
1987-01-01T00:00:00,DT32,150,0,GHCND:USW00014764
1987-01-01T00:00:00,DX32,32,0,GHCND:USW00014764
1987-01-01T00:00:00,DX70,106,0,GHCND:USW00014764
1987-01-01T00:00:00,DX90,6,0,GHCND:USW00014764
1987-01-01T00:00:00,DYFG,165, ,GHCND:USW00014764
1987-01-01T00:00:00,DYHF,38, ,GHCND:USW00014764
1987-01-01T00:00:00,DYTS,14, ,GHCND:USW00014764
1987-01-01T00:00:00,EMNT,-23.9,"0,0215,+",GHCND:USW00014764
1987-01-01T00:00:00,EMSD,762," ,0,0201, ",GHCND:USW00014764
1987-01-01T00:00:00,EMSN,330," ,0,0102, ",GHCND:USW00014764
1987-01-01T00:00:00,EMXP,69.9," ,0,0331, ",GHCND:USW00014764
1987-01-01T00:00:00,EMXT,36.1,"0,0817, ",GHCND:USW00014764
1987-01-01T00:00:00,FZF0,0,"0,1005",GHCND:USW00014764
1987-01-01T00:00:00,FZF1,-2.2,"0,1014",GHCND:USW00014764
1987-01-01T00:00:00,FZF2,-5,"0,1106",GHCND:USW00014764
1987-01-01T00:00:00,FZF3,-10,"0,1121",GHCND:USW00014764
1987-01-01T00:00:00,FZF4,-10,"0,1121",GHCND:USW00014764
1987-01-01T00:00:00,FZF5,0,"0,0509",GHCND:USW00014764
1987-01-01T00:00:00,FZF6,-2.2,"0,0427",GHCND:USW00014764
1987-01-01T00:00:00,FZF7,-4.4,"0,0317",GHCND:USW00014764
1987-01-01T00:00:00,FZF8,-11.7,"0,0312",GHCND:USW00014764
1987-01-01T00:00:00,FZF9,-11.7,"0,0312",GHCND:USW00014764
1987-01-01T00:00:00,HDSD,4090.7,7,GHCND:USW00014764
1987-01-01T00:00:00,HTDD,4090.7,0,GHCND:USW00014764
1987-01-01T00:00:00,PRCP,1036.8," ,0",GHCND:USW00014764
1987-01-01T00:00:00,SNOW,2126," ,0",GHCND:USW00014764
1987-01-01T00:00:00,TAVG,7.72,0,GHCND:USW00014764
1987-01-01T00:00:00,TMAX,13.12,0,GHCND:USW00014764
1987-01-01T00:00:00,TMIN,2.32,0,GHCND:USW00014764
1987-01-01T00:00:00,TSUN,143861,X,GHCND:USW00014764
1987-01-01T00:00:00,WDF1,80,X,GHCND:USW00014764
1987-01-01T00:00:00,WDFG,315,X,GHCND:USW00014764
1987-01-01T00:00:00,WSF1,14.8,X,GHCND:USW00014764
1987-01-01T00:00:00,WSFG,21.6,X,GHCND:USW00014764
1988-01-01T00:00:00,AWND,4.3,X,GHCND:USW00014764
1988-01-01T00:00:00,CDSD,296.9,,GHCND:USW00014764
1988-01-01T00:00:00,CLDD,296.9,0,GHCND:USW00014764
1988-01-01T00:00:00,DP01,131,0,GHCND:USW00014764
1988-01-01T00:00:00,DP10,79,0,GHCND:USW00014764
1988-01-01T00:00:00,DP1X,12,0,GHCND:USW00014764
1988-01-01T00:00:00,DSND,62,,GHCND:USW00014764
1988-01-01T00:00:00,DSNW,11,0,GHCND:USW00014764
1988-01-01T00:00:00,DT00,11,0,GHCND:USW00014764
1988-01-01T00:00:00,DT32,144,0,GHCND:USW00014764
1988-01-01T00:00:00,DX32,42,0,GHCND:USW00014764
1988-01-01T00:00:00,DX70,103,0,GHCND:USW00014764
1988-01-01T00:00:00,DX90,15,0,GHCND:USW00014764
1988-01-01T00:00:00,DYFG,170, ,GHCND:USW00014764
1988-01-01T00:00:00,DYHF,32, ,GHCND:USW00014764
1988-01-01T00:00:00,DYTS,29, ,GHCND:USW00014764
1988-01-01T00:00:00,EMNT,-25,"0,0206,+",GHCND:USW00014764
1988-01-01T00:00:00,EMSD,406," ,0,0214,+",GHCND:USW00014764
1988-01-01T00:00:00,EMSN,323," ,0,0212, ",GHCND:USW00014764
1988-01-01T00:00:00,EMXP,63.5," ,0,1102, ",GHCND:USW00014764
1988-01-01T00:00:00,EMXT,36.1,"0,0615, ",GHCND:USW00014764
1988-01-01T00:00:00,FZF0,-1.1,"0,1007",GHCND:USW00014764
1988-01-01T00:00:00,FZF1,-2.8,"0,1020",GHCND:USW00014764
1988-01-01T00:00:00,FZF2,-4.4,"0,1021",GHCND:USW00014764
1988-01-01T00:00:00,FZF3,-7.2,"0,1204",GHCND:USW00014764
1988-01-01T00:00:00,FZF4,-10.6,"0,1205",GHCND:USW00014764
1988-01-01T00:00:00,FZF5,0,"0,0426",GHCND:USW00014764
1988-01-01T00:00:00,FZF6,-3.3,"0,0414",GHCND:USW00014764
1988-01-01T00:00:00,FZF7,-8.9,"0,0323",GHCND:USW00014764
1988-01-01T00:00:00,FZF8,-8.9,"0,0323",GHCND:USW00014764
1988-01-01T00:00:00,FZF9,-8.9,"0,0323",GHCND:USW00014764
1988-01-01T00:00:00,HDSD,4023.5,5,GHCND:USW00014764
1988-01-01T00:00:00,HTDD,4023.5,0,GHCND:USW00014764
1988-01-01T00:00:00,PRCP,1108.6," ,0",GHCND:USW00014764
1988-01-01T00:00:00,SNOW,1307," ,0",GHCND:USW00014764
1988-01-01T00:00:00,TAVG,8.07,0,GHCND:USW00014764
1988-01-01T00:00:00,TMAX,13.39,0,GHCND:USW00014764
1988-01-01T00:00:00,TMIN,2.75,0,GHCND:USW00014764
1988-01-01T00:00:00,TSUN,153186,X,GHCND:USW00014764
1988-01-01T00:00:00,WDF1,60,X,GHCND:USW00014764
1988-01-01T00:00:00,WDFG,180,X,GHCND:USW00014764
1988-01-01T00:00:00,WSF1,13.9,X,GHCND:USW00014764
1988-01-01T00:00:00,WSFG,21.6,X,GHCND:USW00014764
1989-01-01T00:00:00,AWND,4.1,X,GHCND:USW00014764
1989-01-01T00:00:00,CDSD,200.1,,GHCND:USW00014764
1989-01-01T00:00:00,CLDD,200.1,0,GHCND:USW00014764
1989-01-01T00:00:00,DP01,132,0,GHCND:USW00014764
1989-01-01T00:00:00,DP10,73,0,GHCND:USW00014764
1989-01-01T00:00:00,DP1X,9,0,GHCND:USW00014764
1989-01-01T00:00:00,DSND,67,,GHCND:USW00014764
1989-01-01T00:00:00,DSNW,15,0,GHCND:USW00014764
1989-01-01T00:00:00,DT00,14,0,GHCND:USW00014764
1989-01-01T00:00:00,DT32,157,0,GHCND:USW00014764
1989-01-01T00:00:00,DX32,62,0,GHCND:USW00014764
1989-01-01T00:00:00,DX70,115,0,GHCND:USW00014764
1989-01-01T00:00:00,DX90,4,0,GHCND:USW00014764
1989-01-01T00:00:00,DYFG,189, ,GHCND:USW00014764
1989-01-01T00:00:00,DYHF,41, ,GHCND:USW00014764
1989-01-01T00:00:00,DYTS,17, ,GHCND:USW00014764
1989-01-01T00:00:00,EMNT,-25,"0,1224, ",GHCND:USW00014764
1989-01-01T00:00:00,EMSD,254," ,0,1219,+",GHCND:USW00014764
1989-01-01T00:00:00,EMSN,196," ,0,1216, ",GHCND:USW00014764
1989-01-01T00:00:00,EMXP,84.3," ,0,0511, ",GHCND:USW00014764
1989-01-01T00:00:00,EMXT,35,"0,0726, ",GHCND:USW00014764
1989-01-01T00:00:00,FZF0,0,"0,0925",GHCND:USW00014764
1989-01-01T00:00:00,FZF1,-2.8,"0,1010",GHCND:USW00014764
1989-01-01T00:00:00,FZF2,-4.4,"0,1113",GHCND:USW00014764
1989-01-01T00:00:00,FZF3,-7.8,"0,1121",GHCND:USW00014764
1989-01-01T00:00:00,FZF4,-11.1,"0,1123",GHCND:USW00014764
1989-01-01T00:00:00,FZF5,-1.7,"0,0429",GHCND:USW00014764
1989-01-01T00:00:00,FZF6,-3.3,"0,0425",GHCND:USW00014764
1989-01-01T00:00:00,FZF7,-4.4,"0,0412",GHCND:USW00014764
1989-01-01T00:00:00,FZF8,-8.3,"0,0323",GHCND:USW00014764
1989-01-01T00:00:00,FZF9,-9.4,"0,0320",GHCND:USW00014764
1989-01-01T00:00:00,HDSD,4006.2,2,GHCND:USW00014764
1989-01-01T00:00:00,HTDD,4006.2,0,GHCND:USW00014764
1989-01-01T00:00:00,PRCP,1056," ,0",GHCND:USW00014764
1989-01-01T00:00:00,SNOW,1223," ,0",GHCND:USW00014764
1989-01-01T00:00:00,TAVG,7.31,0,GHCND:USW00014764
1989-01-01T00:00:00,TMAX,12.61,0,GHCND:USW00014764
1989-01-01T00:00:00,TMIN,2,0,GHCND:USW00014764
1989-01-01T00:00:00,TSUN,153151,X,GHCND:USW00014764
1989-01-01T00:00:00,WDF1,320,X,GHCND:USW00014764
1989-01-01T00:00:00,WDFG,315,X,GHCND:USW00014764
1989-01-01T00:00:00,WSF1,14.3,X,GHCND:USW00014764
1989-01-01T00:00:00,WSFG,22.1,X,GHCND:USW00014764
1990-01-01T00:00:00,AWND,3.9,X,GHCND:USW00014764
1990-01-01T00:00:00,CDSD,224.4,,GHCND:USW00014764
1990-01-01T00:00:00,CLDD,224.4,0,GHCND:USW00014764
1990-01-01T00:00:00,DP01,133,0,GHCND:USW00014764
1990-01-01T00:00:00,DP10,80,0,GHCND:USW00014764
1990-01-01T00:00:00,DP1X,12,0,GHCND:USW00014764
1990-01-01T00:00:00,DSND,55,,GHCND:USW00014764
1990-01-01T00:00:00,DSNW,11,0,GHCND:USW00014764
1990-01-01T00:00:00,DT00,3,0,GHCND:USW00014764
1990-01-01T00:00:00,DT32,132,0,GHCND:USW00014764
1990-01-01T00:00:00,DX32,23,0,GHCND:USW00014764
1990-01-01T00:00:00,DX70,101,0,GHCND:USW00014764
1990-01-01T00:00:00,DX90,5,0,GHCND:USW00014764
1990-01-01T00:00:00,DYFG,178, ,GHCND:USW00014764
1990-01-01T00:00:00,DYHF,56, ,GHCND:USW00014764
1990-01-01T00:00:00,DYTS,20, ,GHCND:USW00014764
1990-01-01T00:00:00,EMNT,-19.4,"0,0227, ",GHCND:USW00014764
1990-01-01T00:00:00,EMSD,457," ,0,0205, ",GHCND:USW00014764
1990-01-01T00:00:00,EMSN,290," ,0,0204, ",GHCND:USW00014764
1990-01-01T00:00:00,EMXP,119.4," ,0,1110, ",GHCND:USW00014764
1990-01-01T00:00:00,EMXT,33.3,"0,0718, ",GHCND:USW00014764
1990-01-01T00:00:00,FZF0,-0.6,"0,1021",GHCND:USW00014764
1990-01-01T00:00:00,FZF1,-2.2,"0,1027",GHCND:USW00014764
1990-01-01T00:00:00,FZF2,-4.4,"0,1112",GHCND:USW00014764
1990-01-01T00:00:00,FZF3,-6.7,"0,1206",GHCND:USW00014764
1990-01-01T00:00:00,FZF4,-8.9,"0,1214",GHCND:USW00014764
1990-01-01T00:00:00,FZF5,-3.9,"0,0419",GHCND:USW00014764
1990-01-01T00:00:00,FZF6,-3.9,"0,0419",GHCND:USW00014764
1990-01-01T00:00:00,FZF7,-4.4,"0,0413",GHCND:USW00014764
1990-01-01T00:00:00,FZF8,-6.7,"0,0329",GHCND:USW00014764
1990-01-01T00:00:00,FZF9,-10,"0,0328",GHCND:USW00014764
1990-01-01T00:00:00,HDSD,4082.2,2,GHCND:USW00014764
1990-01-01T00:00:00,HTDD,4082.2,0,GHCND:USW00014764
1990-01-01T00:00:00,PRCP,1338.6," ,0",GHCND:USW00014764
1990-01-01T00:00:00,SNOW,1430," ,0",GHCND:USW00014764
1990-01-01T00:00:00,TAVG,8.93,0,GHCND:USW00014764
1990-01-01T00:00:00,TMAX,14.07,0,GHCND:USW00014764
1990-01-01T00:00:00,TMIN,3.78,0,GHCND:USW00014764
1990-01-01T00:00:00,TSUN,141166,X,GHCND:USW00014764
1990-01-01T00:00:00,WDF1,100,X,GHCND:USW00014764
1990-01-01T00:00:00,WDFG,315,X,GHCND:USW00014764
1990-01-01T00:00:00,WSF1,13.9,X,GHCND:USW00014764
1990-01-01T00:00:00,WSFG,24.7,X,GHCND:USW00014764
1991-01-01T00:00:00,AWND,4,X,GHCND:USW00014764
1991-01-01T00:00:00,CDSD,271.7,,GHCND:USW00014764
1991-01-01T00:00:00,CLDD,271.7,0,GHCND:USW00014764
1991-01-01T00:00:00,DP01,122,0,GHCND:USW00014764
1991-01-01T00:00:00,DP10,70,0,GHCND:USW00014764
1991-01-01T00:00:00,DP1X,15,0,GHCND:USW00014764
1991-01-01T00:00:00,DSND,53,,GHCND:USW00014764
1991-01-01T00:00:00,DSNW,12,0,GHCND:USW00014764
1991-01-01T00:00:00,DT00,2,0,GHCND:USW00014764
1991-01-01T00:00:00,DT32,140,0,GHCND:USW00014764
1991-01-01T00:00:00,DX32,37,0,GHCND:USW00014764
1991-01-01T00:00:00,DX70,111,0,GHCND:USW00014764
1991-01-01T00:00:00,DX90,9,0,GHCND:USW00014764
1991-01-01T00:00:00,DYFG,154, ,GHCND:USW00014764
1991-01-01T00:00:00,DYHF,34, ,GHCND:USW00014764
1991-01-01T00:00:00,DYTS,14, ,GHCND:USW00014764
1991-01-01T00:00:00,EMNT,-18.9,"0,1220, ",GHCND:USW00014764
1991-01-01T00:00:00,EMSD,254," ,0,0114,+",GHCND:USW00014764
1991-01-01T00:00:00,EMSN,216," ,0,0112, ",GHCND:USW00014764
1991-01-01T00:00:00,EMXP,196.9," ,0,0819, ",GHCND:USW00014764
1991-01-01T00:00:00,EMXT,36.7,"0,0628, ",GHCND:USW00014764
1991-01-01T00:00:00,FZF0,0,"0,1013",GHCND:USW00014764
1991-01-01T00:00:00,FZF1,-3.9,"0,1021",GHCND:USW00014764
1991-01-01T00:00:00,FZF2,-4.4,"0,1110",GHCND:USW00014764
1991-01-01T00:00:00,FZF3,-7.8,"0,1127",GHCND:USW00014764
1991-01-01T00:00:00,FZF4,-10.6,"0,1204",GHCND:USW00014764
1991-01-01T00:00:00,FZF5,-1.1,"0,0420",GHCND:USW00014764
1991-01-01T00:00:00,FZF6,-2.8,"0,0414",GHCND:USW00014764
1991-01-01T00:00:00,FZF7,-6.7,"0,0331",GHCND:USW00014764
1991-01-01T00:00:00,FZF8,-6.7,"0,0331",GHCND:USW00014764
1991-01-01T00:00:00,FZF9,-12.8,"0,0224",GHCND:USW00014764
1991-01-01T00:00:00,HDSD,3510.5,5,GHCND:USW00014764
1991-01-01T00:00:00,HTDD,3510.5,0,GHCND:USW00014764
1991-01-01T00:00:00,PRCP,1452.1," ,0",GHCND:USW00014764
1991-01-01T00:00:00,SNOW,1219," ,0",GHCND:USW00014764
1991-01-01T00:00:00,TAVG,8.85,0,GHCND:USW00014764
1991-01-01T00:00:00,TMAX,14.22,0,GHCND:USW00014764
1991-01-01T00:00:00,TMIN,3.47,0,GHCND:USW00014764
1991-01-01T00:00:00,TSUN,146169,X,GHCND:USW00014764
1991-01-01T00:00:00,WDF1,10,X,GHCND:USW00014764
1991-01-01T00:00:00,WDFG,360,X,GHCND:USW00014764
1991-01-01T00:00:00,WSF1,17.9,X,GHCND:USW00014764
1991-01-01T00:00:00,WSFG,27.2,X,GHCND:USW00014764
1992-01-01T00:00:00,AWND,4,X,GHCND:USW00014764
1992-01-01T00:00:00,CDSD,134.6,,GHCND:USW00014764
1992-01-01T00:00:00,CLDD,134.6,0,GHCND:USW00014764
1992-01-01T00:00:00,DP01,133,0,GHCND:USW00014764
1992-01-01T00:00:00,DP10,80,0,GHCND:USW00014764
1992-01-01T00:00:00,DP1X,7,0,GHCND:USW00014764
1992-01-01T00:00:00,DSND,34,,GHCND:USW00014764
1992-01-01T00:00:00,DSNW,11,0,GHCND:USW00014764
1992-01-01T00:00:00,DT00,6,0,GHCND:USW00014764
1992-01-01T00:00:00,DT32,154,0,GHCND:USW00014764
1992-01-01T00:00:00,DX32,37,0,GHCND:USW00014764
1992-01-01T00:00:00,DX70,99,0,GHCND:USW00014764
1992-01-01T00:00:00,DX90,1,0,GHCND:USW00014764
1992-01-01T00:00:00,DYFG,165, ,GHCND:USW00014764
1992-01-01T00:00:00,DYHF,47, ,GHCND:USW00014764
1992-01-01T00:00:00,DYTS,10, ,GHCND:USW00014764
1992-01-01T00:00:00,EMNT,-21.7,"0,0213, ",GHCND:USW00014764
1992-01-01T00:00:00,EMSD,279," ,0,0321, ",GHCND:USW00014764
1992-01-01T00:00:00,EMSN,274," ,0,0321, ",GHCND:USW00014764
1992-01-01T00:00:00,EMXP,60.7," ,0,0606, ",GHCND:USW00014764
1992-01-01T00:00:00,EMXT,32.2,"0,0522, ",GHCND:USW00014764
1992-01-01T00:00:00,FZF0,0,"0,0930",GHCND:USW00014764
1992-01-01T00:00:00,FZF1,-2.2,"0,1018",GHCND:USW00014764
1992-01-01T00:00:00,FZF2,-4.4,"0,1108",GHCND:USW00014764
1992-01-01T00:00:00,FZF3,-7.8,"0,1110",GHCND:USW00014764
1992-01-01T00:00:00,FZF4,-8.9,"0,1120",GHCND:USW00014764
1992-01-01T00:00:00,FZF5,-0.6,"0,0512",GHCND:USW00014764
1992-01-01T00:00:00,FZF6,-3.3,"0,0416",GHCND:USW00014764
1992-01-01T00:00:00,FZF7,-5.6,"0,0415",GHCND:USW00014764
1992-01-01T00:00:00,FZF8,-12.2,"0,0325",GHCND:USW00014764
1992-01-01T00:00:00,FZF9,-12.2,"0,0325",GHCND:USW00014764
1992-01-01T00:00:00,HDSD,4072.6,6,GHCND:USW00014764
1992-01-01T00:00:00,HTDD,4072.6,0,GHCND:USW00014764
1992-01-01T00:00:00,PRCP,979.1," ,0",GHCND:USW00014764
1992-01-01T00:00:00,SNOW,1046," ,0",GHCND:USW00014764
1992-01-01T00:00:00,TAVG,7.33,0,GHCND:USW00014764
1992-01-01T00:00:00,TMAX,12.37,0,GHCND:USW00014764
1992-01-01T00:00:00,TMIN,2.3,0,GHCND:USW00014764
1992-01-01T00:00:00,TSUN,140823,X,GHCND:USW00014764
1992-01-01T00:00:00,WDF1,170,X,GHCND:USW00014764
1992-01-01T00:00:00,WDFG,180,X,GHCND:USW00014764
1992-01-01T00:00:00,WSF1,16.1,X,GHCND:USW00014764
1992-01-01T00:00:00,WSFG,23.6,X,GHCND:USW00014764
1993-01-01T00:00:00,AWND,4.2,X,GHCND:USW00014764
1993-01-01T00:00:00,CDSD,230.9,,GHCND:USW00014764
1993-01-01T00:00:00,CLDD,230.9,0,GHCND:USW00014764
1993-01-01T00:00:00,DP01,153,0,GHCND:USW00014764
1993-01-01T00:00:00,DP10,88,0,GHCND:USW00014764
1993-01-01T00:00:00,DP1X,8,0,GHCND:USW00014764
1993-01-01T00:00:00,DSND,81,,GHCND:USW00014764
1993-01-01T00:00:00,DSNW,24,0,GHCND:USW00014764
1993-01-01T00:00:00,DT00,12,0,GHCND:USW00014764
1993-01-01T00:00:00,DT32,162,0,GHCND:USW00014764
1993-01-01T00:00:00,DX32,51,0,GHCND:USW00014764
1993-01-01T00:00:00,DX70,103,0,GHCND:USW00014764
1993-01-01T00:00:00,DX90,9,0,GHCND:USW00014764
1993-01-01T00:00:00,DYFG,163, ,GHCND:USW00014764
1993-01-01T00:00:00,DYHF,33, ,GHCND:USW00014764
1993-01-01T00:00:00,DYTS,23, ,GHCND:USW00014764
1993-01-01T00:00:00,EMNT,-26.7,"0,0207, ",GHCND:USW00014764
1993-01-01T00:00:00,EMSD,864," ,0,0314, ",GHCND:USW00014764
1993-01-01T00:00:00,EMSN,429," ,0,0313, ",GHCND:USW00014764
1993-01-01T00:00:00,EMXP,44.7," ,0,1221, ",GHCND:USW00014764
1993-01-01T00:00:00,EMXT,36.7,"0,0710, ",GHCND:USW00014764
1993-01-01T00:00:00,FZF0,-0.6,"0,1001",GHCND:USW00014764
1993-01-01T00:00:00,FZF1,-2.8,"0,1010",GHCND:USW00014764
1993-01-01T00:00:00,FZF2,-4.4,"0,1011",GHCND:USW00014764
1993-01-01T00:00:00,FZF3,-7.2,"0,1108",GHCND:USW00014764
1993-01-01T00:00:00,FZF4,-11.7,"0,1125",GHCND:USW00014764
1993-01-01T00:00:00,FZF5,-0.6,"0,0429",GHCND:USW00014764
1993-01-01T00:00:00,FZF6,-3.3,"0,0408",GHCND:USW00014764
1993-01-01T00:00:00,FZF7,-5.6,"0,0407",GHCND:USW00014764
1993-01-01T00:00:00,FZF8,-8.3,"0,0323",GHCND:USW00014764
1993-01-01T00:00:00,FZF9,-14.4,"0,0320",GHCND:USW00014764
1993-01-01T00:00:00,HDSD,4206,0,GHCND:USW00014764
1993-01-01T00:00:00,HTDD,4206,0,GHCND:USW00014764
1993-01-01T00:00:00,PRCP,1114.9," ,0",GHCND:USW00014764
1993-01-01T00:00:00,SNOW,3130," ,0",GHCND:USW00014764
1993-01-01T00:00:00,TAVG,7.52,0,GHCND:USW00014764
1993-01-01T00:00:00,TMAX,12.77,0,GHCND:USW00014764
1993-01-01T00:00:00,TMIN,2.27,0,GHCND:USW00014764
1993-01-01T00:00:00,TSUN,151530,X,GHCND:USW00014764
1993-01-01T00:00:00,WDF1,70,X,GHCND:USW00014764
1993-01-01T00:00:00,WDFG,90,X,GHCND:USW00014764
1993-01-01T00:00:00,WSF1,16.5,X,GHCND:USW00014764
1993-01-01T00:00:00,WSFG,23.6,X,GHCND:USW00014764
1994-01-01T00:00:00,AWND,3.7,X,GHCND:USW00014764
1994-01-01T00:00:00,CDSD,234.1,,GHCND:USW00014764
1994-01-01T00:00:00,CLDD,234.1,0,GHCND:USW00014764
1994-01-01T00:00:00,DP01,129,0,GHCND:USW00014764
1994-01-01T00:00:00,DP10,69,0,GHCND:USW00014764
1994-01-01T00:00:00,DP1X,10,0,GHCND:USW00014764
1994-01-01T00:00:00,DSND,83,,GHCND:USW00014764
1994-01-01T00:00:00,DSNW,18,0,GHCND:USW00014764
1994-01-01T00:00:00,DT00,18,0,GHCND:USW00014764
1994-01-01T00:00:00,DT32,143,0,GHCND:USW00014764
1994-01-01T00:00:00,DX32,58,0,GHCND:USW00014764
1994-01-01T00:00:00,DX70,100,0,GHCND:USW00014764
1994-01-01T00:00:00,DX90,3,0,GHCND:USW00014764
1994-01-01T00:00:00,DYFG,161, ,GHCND:USW00014764
1994-01-01T00:00:00,DYHF,35, ,GHCND:USW00014764
1994-01-01T00:00:00,DYTS,17, ,GHCND:USW00014764
1994-01-01T00:00:00,EMNT,-27.8,"0,0127, ",GHCND:USW00014764
1994-01-01T00:00:00,EMSD,559," ,0,0118, ",GHCND:USW00014764
1994-01-01T00:00:00,EMSN,239," ,0,0104, ",GHCND:USW00014764
1994-01-01T00:00:00,EMXP,102.6," ,0,0923, ",GHCND:USW00014764
1994-01-01T00:00:00,EMXT,34.4,"0,0722, ",GHCND:USW00014764
1994-01-01T00:00:00,FZF0,0,"0,1011",GHCND:USW00014764
1994-01-01T00:00:00,FZF1,-3.3,"0,1012",GHCND:USW00014764
1994-01-01T00:00:00,FZF2,-5,"0,1112",GHCND:USW00014764
1994-01-01T00:00:00,FZF3,-8.3,"0,1123",GHCND:USW00014764
1994-01-01T00:00:00,FZF4,-11.7,"0,1127",GHCND:USW00014764
1994-01-01T00:00:00,FZF5,-3.9,"0,0423",GHCND:USW00014764
1994-01-01T00:00:00,FZF6,-3.9,"0,0423",GHCND:USW00014764
1994-01-01T00:00:00,FZF7,-5.6,"0,0318",GHCND:USW00014764
1994-01-01T00:00:00,FZF8,-8.3,"0,0312",GHCND:USW00014764
1994-01-01T00:00:00,FZF9,-8.9,"0,0306",GHCND:USW00014764
1994-01-01T00:00:00,HDSD,4209.7,7,GHCND:USW00014764
1994-01-01T00:00:00,HTDD,4209.7,0,GHCND:USW00014764
1994-01-01T00:00:00,PRCP,1119.7," ,0",GHCND:USW00014764
1994-01-01T00:00:00,SNOW,1736," ,0",GHCND:USW00014764
1994-01-01T00:00:00,TAVG,7.67,0,GHCND:USW00014764
1994-01-01T00:00:00,TMAX,12.94,0,GHCND:USW00014764
1994-01-01T00:00:00,TMIN,2.39,0,GHCND:USW00014764
1994-01-01T00:00:00,TSUN,151686,X,GHCND:USW00014764
1995-01-01T00:00:00,AWND,3.5,X,GHCND:USW00014764
